romantic,0.1730418762163299
quiet storm,0.15528431541827858
smooth,0.13642654651755579
soul,0.1283018609364559
smooth jazz,0.1246460934714949
british invasion,0.12424463571170595
disco,0.11932245943720436
country,0.11735151227091407
motown,0.11487938911844384
swing,0.11385396052518923
vocal jazz,0.11277284013502485
jazz,0.10711063624077141
easy listening,0.10659928400417566
neo-soul,0.10331171226778686
r&b,0.10193983666748677
funk,0.10150885566558564
adult contemporary,0.1009387593829505
chicago blues,0.09733286605294181
world,0.09660711724750387
pop,0.09370708206238174
rockabilly,0.08914582325957364
soft rock,0.08862869651323185
dance,0.08823703794065732
classic,0.08715051057726361
doo wop,0.08548443734287872
surf,0.08265287763546036
american,0.08099225476744003
rock and roll,0.0784336998913088
blues,0.07739680276815977
soundtrack,0.07587901034535043
indie pop,0.075063290611341
southern rock,0.07321893941078404
teen pop,0.07189828347847019
british,0.07102953952025041
acoustic,0.06915124943450843
new wave,0.06891220695348718
dancehall,0.06811660311297427
psychedelic,0.06525469715688416
folk,0.06516115658094875
reggae,0.0645607653852549
disney,0.06330510928713753
house,0.06291566821700446
vocal,0.05819410064297867
big band,0.05814965329040634
art rock,0.05779676224000345
urban,0.05734047321474222
jam,0.05506850356560144
electronic,0.054999872714020195
britpop,0.05310206583988356
goth,0.052976295575023716
alternative rap,0.0513975513975514
lounge,0.05104707068401778
baroque,0.0498062015503876
christian,0.049506779074591216
indie,0.049492507581943526
glam rock,0.049076358247617184
rock,0.04896196007766867
easy,0.047979466366399805
arena rock,0.04717256677498115
alternative,0.04595990742509559
electronica,0.045649791899061515
indie rock,0.044483654495051365
college,0.04430004440825196
eurodance,0.043607647893564284
folk-rock,0.04349334445689967
garage,0.04250776535902912
middle,0.042127966077809345
chicago,0.042000971439140486
quiet,0.041703130376101995
latin,0.04148765027320944
trance,0.040430828861061426
alternative rock,0.040126883504855194
randb,0.03773545763837026
music,0.03726384847500161
dubstep,0.03707545333091646
hair metal,0.03692183953441785
inspirational,0.03646723712550283
roots,0.036308302346119724
grunge,0.03574269508659267
blues-rock,0.035695363166068445
techno,0.03378092876515655
tv,0.03214695752009185
new age,0.031100309494860454
ska,0.03064568472340099
glam,0.03005792405700734
progressive rock,0.029711502646439722
contemporary country,0.028653315593574504
other,0.028639371314561308
roots reggae,0.027660737922877536
new,0.027198156138062198
delta blues,0.027124851656979518
experimental,0.027065485279770443
classic blues,0.02600411557615235
hip-hop,0.02595799688899754
original,0.024497790912528752
dub,0.024322737480438738
gospel,0.024243942044774956
opera,0.023651145602365118
instrumental,0.02358369728869755
alternative folk,0.02329602286258633
tex-mex,0.023140495867768594
electric blues,0.02289455931683207
college rock,0.022601045677968754
contemporary,0.022467285774588435
hard rock,0.02223973444186198
downtempo,0.0222247207500248
halloween,0.019684204260466714
jam bands,0.019061065721835295
blue note,0.01857282502443793
old,0.018174271771394072
and,0.0176522506619594
ambient,0.01750239230064808
doo-wop,0.01742580391157841
workout,0.016883814788006404
pop/rock,0.01684030255458827
modern,0.01676963812886143
french,0.016339134670872
cowboy,0.01614273576890399
vocal pop,0.015938606847697757
electronic rock,0.015877766338667772
americana,0.01579930974817489
christmas,0.015795752999055373
soft,0.015647474480448433
shoegaze,0.01562734457846689
progressive,0.015615862028764554
goth rock,0.015397875510377886
religious,0.015231270082868254
drone,0.015151515151515152
electro,0.014943077630539928
underground,0.01480119598120601
high,0.014204545454545454
cool,0.014179504866901272
environmental,0.013368983957219251
country blues,0.013337468982630274
contemporary jazz,0.013278388278388278
death,0.013002439821465905
bossa nova,0.012564050753583992
spoken word,0.012327523602033407
alternativo,0.01221212121212121
german,0.012157380495351892
punk,0.011929745844410835
comedy,0.011846236716073568
classical,0.011837595449648766
minimalism,0.011363636363636364
traditional,0.011363636363636364
orchestral,0.011332862142751313
travel,0.010291595197255575
drinking,0.009950248756218905
hard bop,0.009900990099009901
reggaeton,0.009839054822673315
indian,0.009569377990430622
fusion,0.009407652497420054
drinking songs,0.009324009324009324
rock & roll,0.008959606793639555
standards,0.00815833579808735
wedding,0.00809915311057733
holiday,0.007532679738562091
australia,0.007421333011061328
avant-garde,0.007411889216768071
underground rap,0.00706547338671691
africa,0.006855640807047457
west coast rap,0.006632740343446878
worship,0.00522466039707419
outlaw,0.005194805194805195
acoustic blues,0.004670459288293683
experimental rock,0.004279498677524291
america,0.00375234521575985
europe,0.003454765587503051
crossover,0.002466338979076773
latino,0.0021984879127736274
roll,0.0012626262626262625
crunk,0.0012075192472443563
foreign,0.0009182736455463729
to,0.0008417508417508417
asia,0.0007851027735037675
fitness,0.0006734006734006734
christian metal,0.0006020469596628537
black,0.00039986933846968285
breakbeat,0.00017916480682438169
rap,0.00011030028897779925
idm,0.0
honky tonk,0.0
latin jazz,0.0
anime,0.0
bluegrass,0.0
steampunk,-0.0005753739930955121
tropical,-0.0010509721492380452
old school rap,-0.001758646668376974
wedding music,-0.0020475020475020475
songs,-0.0020475020475020475
salsa,-0.0025330015896053632
christian rock,-0.0026542383978013376
french pop,-0.0029273779411857336
dirty,-0.003588516746411483
band,-0.00456140350877193
sing-along,-0.006706408345752608
prog-rock,-0.00703558523680475
bounce,-0.007920110192837466
france,-0.00845571958737449
musicals,-0.010295260295260296
medieval,-0.010551948051948052
renaissance,-0.010551948051948052
cinema,-0.010882528324388789
ccm,-0.011031664964249234
blue,-0.012432382981344406
songwriter,-0.01311188811188811
southern,-0.014696443028831004
hardcore rap,-0.01515151515151515
wave,-0.017045454545454544
hard,-0.019491273600964244
dirty south,-0.023442943849411677
big,-0.027119222241173458
